parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
adjmix_rain:hru_5621:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5621:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5625:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5628:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5635:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5635:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5635:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5635:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5635:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5635:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5635:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_5635:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
